,max_eff,D,n_i,fmep0,p0,Q0,ecart
C4.3T2_GV,36.6,4.3,0.42942794661008277,114.05316280543019,0.0006157823412612042,301.7684796990509,2.020563621859566
C4.3T3_GV,36.2,4.3,0.4159829008976017,120.27824729467353,0.0005832297365320211,136.11308669197868,2.0896132574564854
F1.6T2_GV,34.8,1.596,0.38976111635344635,103.67923192599892,0.0004934585467721805,337.110832562632,1.302061027186844
F1.6T3_GV,34.0,1.596,0.3789641711566086,110.66864265589757,0.00045356110633902515,289.50508932966625,1.5974602811270608
F2.7T2_GV,36.2,2.694,0.39778963036435466,88.06141284377227,0.000607241372346766,190.152302697582,1.1269822256215043
F2.7T3_GV,35.8,2.694,0.40124132408741997,109.37855631820719,0.0005768665204315938,179.55981152602297,2.727615324652007
H1.5T2_GV,37.6,1.496,0.4431944480325781,160.0897906310918,0.0002424302988892085,132.9656992426179,1.5194533106592234
H1.5T3_GV,37.3,1.496,0.4273607704499579,145.39410651583393,0.00029780801175445434,192.53455999914954,1.5853615265538419
M2.5T2_GV,37.6,2.488,0.44759551094755556,107.50393740098644,0.00042658229406635433,443.07205547348013,0.986838063295482
M2.5T3_GV,37.5,2.488,0.43886083279839483,109.66351017631139,0.00042504382360357293,426.60938256173836,1.0163262204356205
M2.5T2_GV2,37.4,2.488,0.43394215127224445,97.59853901851203,0.0005655572400194489,554.3903336681601,1.2520433166110763
M2.5T3_GV2,37.2,2.488,0.42129514093576853,107.56591895275216,0.0005184500666738319,300.4758007425236,1.6317481539194514
M2.0T2_GV,37.0,1.998,0.4568623507316637,111.13827760340702,0.0005080625605174416,556.4529252102899,1.583243948295092
M2.0T3_GV,37.6,1.998,0.4772561243800094,110.93504586617924,0.0005308452760681381,636.6391566861395,1.849258369562551
T2.5T2_GV,39.9,2.487,0.4729743883949622,115.45083345774358,0.00044564512725826604,379.208048913257,1.3172569346883873
T2.5T3_GV,39.1,2.487,0.4608220302176111,110.24345981766601,0.0004673969757587648,327.57775281998954,1.2880135900304217
